City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,La Palma,US,68.59,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
541,Kushima,JP,59.04,overcast clouds,31.4583,131.2333,Hanaoka
543,Saint Simons,US,58.62,overcast clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
544,Faya,SA,57.43,clear sky,18.3851,42.4509,املاك خالد الشعشوع
546,Gondar,ET,60.62,broken clouds,12.6,37.4667,L Shape Hotel
555,Saint George,US,52.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
556,Riyadh,SA,58.32,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
563,Springdale,US,51.71,clear sky,36.1867,-94.1288,Springdale Inn
567,Jijiga,ET,61.97,overcast clouds,9.35,42.8,RAMAAS HOTEL
586,Aguimes,ES,61.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
591,Vredendal,ZA,62.44,clear sky,-31.6683,18.5012,Tharrakamma Guest House
592,Marsala,IT,50.29,scattered clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
594,Coquimbo,CL,65.43,clear sky,-29.9533,-71.3436,Hotel San Juan
601,Ponta Delgada,PT,61.09,overcast clouds,37.7333,-25.6667,Vila Nova Hotel
608,Dunedin,NZ,57.33,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
617,Concordia,AR,63.86,scattered clouds,-31.393,-58.0209,Palmar Hotel Casino
618,Saldanha,ZA,61.75,clear sky,-33.0117,17.9442,Blue Bay Lodge
625,Bannu,PK,62.22,clear sky,32.9854,70.6027,Oxford Hostel
631,Panzhihua,CN,68.34,clear sky,26.5851,101.7128,Electric Power Hotel
636,Atar,MR,62.17,clear sky,20.5169,-13.0499,Oumou Elghoura
637,Assomada,CV,63.43,clear sky,15.1,-23.6833,Residencial Cosmos
639,Santa Maria Del Oro,MX,56.3,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
642,Mao,ES,50.65,clear sky,39.8885,4.2658,ARTIEM Capri
647,Ritchie,ZA,65.32,broken clouds,-29.038,24.6028,Riverside Country Club Modderrivier
648,Elat,IL,53.44,clear sky,29.5581,34.9482,Club Hotel Eilat
649,Alanya,TR,55.58,overcast clouds,36.5438,31.9998,Panorama Hotel
651,Usuki,JP,65.28,overcast clouds,33.1081,131.7878,Usukiya
663,Suez,EG,56.03,clear sky,29.9737,32.5263,Green House
667,Fortuna,US,60.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
669,Mwene-Ditu,CD,64.83,overcast clouds,-7.0,23.45,Hôtel Kamas
675,Marsabit,KE,63.75,scattered clouds,2.3284,37.9899,Chicho Hotel
676,Maldonado,UY,66.22,scattered clouds,-34.6667,-54.9167,La Cimarrona
679,Lichinga,MZ,60.39,broken clouds,-13.3128,35.2406,Residencial Bendiak
681,Rudbar,AF,62.76,light rain,30.15,62.6,
683,Flinders,AU,69.04,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
688,Ambalavao,MG,66.06,overcast clouds,-21.8333,46.9333,Hôtel Le Tropik
695,Dzilam Gonzalez,MX,68.92,clear sky,21.2833,-88.9333,posadas
703,Mwingi,KE,64.69,scattered clouds,-0.9344,38.0601,Thorn Tree by The Address
704,Suluq,LY,56.84,overcast clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
707,Emilio Carranza,MX,63.03,overcast clouds,19.9711,-96.6114,Hotel Carranza Inn
