City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Valparaiso,-33.0393,-71.6273,67.64,55,0,4.61,CL,2022-02-25 01:33:38
284,Mecca,21.4267,39.8261,73.09,81,94,3.06,SA,2022-02-25 01:35:16
285,Khatanga,71.9667,102.5,-22.02,100,39,2.86,RU,2022-02-25 01:35:17
286,Ishigaki,24.3448,124.1572,68.13,60,40,17.27,JP,2022-02-25 01:35:17
287,Sompeta,18.9333,84.6,74.17,63,2,5.19,IN,2022-02-25 01:35:18
288,Waipawa,-41.4122,175.5153,64.92,59,58,7.92,NZ,2022-02-25 01:35:18
289,Blackfoot,43.1905,-112.345,19.35,96,100,5.37,US,2022-02-25 01:35:19
290,Georgetown,5.4112,100.3354,80.53,86,40,9.22,MY,2022-02-25 01:35:19
291,Molchanovo,57.5817,83.7692,26.28,93,100,12.91,RU,2022-02-25 01:35:19
292,Dunedin,-45.8742,170.5036,65.8,61,22,14.0,NZ,2022-02-25 01:35:20
293,Pevek,69.7008,170.3133,-6.99,94,100,0.89,RU,2022-02-25 01:35:20
294,Cayenne,4.9333,-52.3333,76.08,90,75,0.0,GF,2022-02-25 01:35:21
