City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Aklavik,CA,68.2191,-135.0107,-6.77,93,7,12.88,clear sky
260,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,58,75,6.71,broken clouds
261,Mount Isa,AU,-20.7333,139.5,99.77,18,0,4.85,clear sky
262,Marzuq,YE,14.4,46.4667,63.3,74,8,2.06,clear sky
263,Buraydah,SA,26.326,43.975,58.3,37,26,8.46,scattered clouds
264,Grindavik,IS,63.8424,-22.4338,36.14,68,100,34.94,overcast clouds
265,Pierre,US,44.3683,-100.351,43.18,60,100,5.17,overcast clouds
266,Porto Nacional,BR,-10.7081,-48.4172,74.75,84,4,1.21,clear sky
267,Zhigansk,RU,66.7697,123.3711,-12.15,94,96,4.83,overcast clouds
268,Naranjal,EC,-2.6667,-79.6167,74.7,94,97,2.57,overcast clouds
269,Umm Kaddadah,SD,13.6017,26.6876,65.16,13,31,14.65,scattered clouds
270,Kapenguria,KE,1.2511,35.0895,57.43,68,32,5.66,scattered clouds
271,Goderich,CA,43.7501,-81.7165,23.7,78,100,18.75,overcast clouds
272,Bengkulu,ID,-3.8004,102.2655,83.05,66,100,0.74,overcast clouds
273,Ugoofaaru,MV,5.6667,73.0,82.45,71,19,10.31,few clouds
274,Hofn,IS,64.2539,-15.2082,38.44,68,100,32.35,moderate rain
275,Birpur,IN,26.5167,87.0167,70.38,41,0,9.33,clear sky
276,Altamont,US,42.2068,-121.7372,45.54,82,100,5.1,overcast clouds
277,Banda Aceh,ID,5.5577,95.3222,78.57,80,100,2.68,light rain
278,Kruisfontein,ZA,-34.0033,24.7314,64.89,91,85,2.59,overcast clouds
279,Alofi,NU,-19.0595,-169.9187,79.61,77,100,1.41,overcast clouds
280,Victor Harbor,AU,-35.5667,138.6167,70.77,72,74,8.61,broken clouds
281,Pevek,RU,69.7008,170.3133,5.27,95,100,3.13,overcast clouds
